episode,total_reward
725.0,-252.1307979887796
726.0,-270.35194956408
727.0,-315.3096707958695
728.0,-323.9152363138045
729.0,-314.02440679057736
730.0,-300.89170141974563
731.0,-292.16806024467536
732.0,-291.4256800128768
733.0,-172.18639261016378
734.0,-239.34448344314671
735.0,-242.72097272767147
736.0,-233.02986232166433
737.0,-234.26702754648545
738.0,-17.828774843373907
739.0,-233.62765185391686
740.0,-162.63717663985128
741.0,-197.50437016686502
742.0,-223.19380853684908
743.0,-214.9108778093603
744.0,-188.4525719981222
745.0,-224.82540294514942
746.0,-159.7949514966364
747.0,-203.29523900029787
748.0,-218.98626235913684
749.0,-209.70031727216417
750.0,-161.96166139304884
751.0,-219.0975859589616
752.0,-210.7287127172461
753.0,-204.79586309739645
754.0,-206.21248495084583
755.0,-234.41852337595927
756.0,-224.1439068700991
757.0,-301.04681249643335
758.0,-271.35429737415427
759.0,-222.27659586321724
760.0,-216.05736620825778
761.0,-219.52936697246685
762.0,-217.40556991821828
763.0,-224.19577093416774
764.0,-222.35275315131932
765.0,-158.80166312503488
766.0,-157.14864321507437
767.0,-220.68832892964718
768.0,-216.61294976310677
769.0,-218.78914448764036
770.0,-222.975685573379
771.0,-216.80278232106946
772.0,-234.53506101854862
773.0,-229.32819784717114
774.0,-168.44407549958163
775.0,-158.46153736979562
776.0,-167.56823984149975
777.0,-161.43384363285912
778.0,-171.43993624297684
779.0,-223.21190373532588
780.0,-201.45789479047676
781.0,-173.2675135572548
782.0,-170.24037964216078
783.0,-168.0743133723931
784.0,-179.94983306660532
785.0,-222.56666382205495
786.0,-229.56568640153228
787.0,-226.3432251263298
788.0,-221.98202702497431
789.0,-231.27483981015632
790.0,-231.69469281615932
791.0,-238.53183885789687
792.0,-263.8318306472779
793.0,-265.528232882761
794.0,-219.0708088853496
795.0,-269.21606311701385
796.0,-299.36028965434014
797.0,-292.8187848002875
798.0,-280.4076490980608
799.0,-281.13838427532545
800.0,-281.366130627746
801.0,-275.78031679628714
802.0,-276.9122468541837
803.0,-303.2517061764047
804.0,-268.4303967499792
805.0,-272.66284251757025
806.0,-275.575763001808
807.0,-234.05982655031158
808.0,-254.0481700280245
809.0,-245.74067470871972
810.0,-223.3156285748358
811.0,-197.68905785972487
812.0,-205.19607778631578
813.0,-191.11795638882347
814.0,-230.9397636003744
815.0,-204.09210341909665
816.0,11.400106421662635
817.0,-207.70522372500156
818.0,-186.12030580730334
819.0,-173.7564322156587
820.0,-221.24995506354125
821.0,-237.038547042656
822.0,-225.37594752958188
823.0,-138.29439382608572
824.0,24.771173760252374
825.0,-179.82524987514432
826.0,-263.3058569769989
827.0,-266.2014978562536
828.0,-264.20780316423117
829.0,-272.50400689881354
830.0,-455.932357873399
831.0,-460.7473421473767
832.0,-475.90979576040365
833.0,-478.5189661431358
834.0,-456.46352907861433
835.0,-507.12120605699346
836.0,-444.7650038256326
837.0,-461.80375550074575
838.0,-507.8286505342968
839.0,-487.3464505865937
840.0,-459.5201607287951
841.0,-408.64876308205504
842.0,-375.7597169328863
